device_id,device_name,model,location,status,install_date
D001,风机001,FX-002,B区,maintenance,2025-12-01
D002,风机002,FX-003,C区,offline,2025-12-02
D003,风机003,FX-004,D区,active,2025-12-03
D004,风机004,FX-005,A区,maintenance,2025-12-04
D005,风机005,FX-006,B区,offline,2025-12-05
D006,风机006,FX-007,C区,active,2025-12-06
D007,风机007,FX-008,D区,maintenance,2025-12-07
D008,风机008,FX-009,A区,offline,2025-12-08
D009,风机009,FX-001,B区,active,2025-12-09
D010,风机010,FX-002,C区,maintenance,2025-12-10
D011,风机011,FX-003,D区,offline,2025-12-11
D012,风机012,FX-004,A区,active,2025-12-12
D013,风机013,FX-005,B区,maintenance,2025-12-13
D014,风机014,FX-006,C区,offline,2025-12-14
D015,风机015,FX-007,D区,active,2025-12-15
D016,风机016,FX-008,A区,maintenance,2025-12-16
D017,风机017,FX-009,B区,offline,2025-12-17
D018,风机018,FX-001,C区,active,2025-12-18
D019,风机019,FX-002,D区,maintenance,2025-12-19
D020,风机020,FX-003,A区,offline,2025-12-20
D021,风机021,FX-004,B区,active,2025-12-21
D022,风机022,FX-005,C区,maintenance,2025-12-22
D023,风机023,FX-006,D区,offline,2025-12-23
D024,风机024,FX-007,A区,active,2025-12-24
D025,风机025,FX-008,B区,maintenance,2025-12-25
D026,风机026,FX-009,C区,offline,2025-12-26
D027,风机027,FX-001,D区,active,2025-12-27
D028,风机028,FX-002,A区,maintenance,2025-12-28
D029,风机029,FX-003,B区,offline,2025-12-29
D030,风机030,FX-004,C区,active,2025-12-30
D031,风机031,FX-005,D区,maintenance,2025-12-31
D032,风机032,FX-006,A区,offline,2026-01-01
D033,风机033,FX-007,B区,active,2026-01-02
D034,风机034,FX-008,C区,maintenance,2026-01-03
D035,风机035,FX-009,D区,offline,2026-01-04
D036,风机036,FX-001,A区,active,2026-01-05
D037,风机037,FX-002,B区,maintenance,2026-01-06
D038,风机038,FX-003,C区,offline,2026-01-07
D039,风机039,FX-004,D区,active,2026-01-08
D040,风机040,FX-005,A区,maintenance,2026-01-09
D041,风机041,FX-006,B区,offline,2026-01-10
D042,风机042,FX-007,C区,active,2026-01-11
D043,风机043,FX-008,D区,maintenance,2026-01-12
D044,风机044,FX-009,A区,offline,2026-01-13
D045,风机045,FX-001,B区,active,2026-01-14
D046,风机046,FX-002,C区,maintenance,2026-01-15
D047,风机047,FX-003,D区,offline,2026-01-16
D048,风机048,FX-004,A区,active,2026-01-17
D049,风机049,FX-005,B区,maintenance,2026-01-18
D050,风机050,FX-006,C区,offline,2026-01-19
D051,风机051,FX-007,D区,active,2026-01-20
D052,风机052,FX-008,A区,maintenance,2026-01-21
D053,风机053,FX-009,B区,offline,2026-01-22
D054,风机054,FX-001,C区,active,2026-01-23
D055,风机055,FX-002,D区,maintenance,2026-01-24
D056,风机056,FX-003,A区,offline,2026-01-25
D057,风机057,FX-004,B区,active,2026-01-26
D058,风机058,FX-005,C区,maintenance,2026-01-27
D059,风机059,FX-006,D区,offline,2026-01-28
D060,风机060,FX-007,A区,active,2026-01-29
D061,风机061,FX-008,B区,maintenance,2026-01-30
D062,风机062,FX-009,C区,offline,2026-01-31
D063,风机063,FX-001,D区,active,2026-02-01
D064,风机064,FX-002,A区,maintenance,2026-02-02
D065,风机065,FX-003,B区,offline,2026-02-03
D066,风机066,FX-004,C区,active,2026-02-04
D067,风机067,FX-005,D区,maintenance,2026-02-05
D068,风机068,FX-006,A区,offline,2026-02-06
D069,风机069,FX-007,B区,active,2026-02-07
D070,风机070,FX-008,C区,maintenance,2026-02-08
D071,风机071,FX-009,D区,offline,2026-02-09
D072,风机072,FX-001,A区,active,2026-02-10
D073,风机073,FX-002,B区,maintenance,2026-02-11
D074,风机074,FX-003,C区,offline,2026-02-12
D075,风机075,FX-004,D区,active,2026-02-13
D076,风机076,FX-005,A区,maintenance,2026-02-14
D077,风机077,FX-006,B区,offline,2026-02-15
D078,风机078,FX-007,C区,active,2026-02-16
D079,风机079,FX-008,D区,maintenance,2026-02-17
D080,风机080,FX-009,A区,offline,2026-02-18
D081,风机081,FX-001,B区,active,2026-02-19
D082,风机082,FX-002,C区,maintenance,2026-02-20
D083,风机083,FX-003,D区,offline,2026-02-21
D084,风机084,FX-004,A区,active,2026-02-22
D085,风机085,FX-005,B区,maintenance,2026-02-23
D086,风机086,FX-006,C区,offline,2026-02-24
D087,风机087,FX-007,D区,active,2026-02-25
D088,风机088,FX-008,A区,maintenance,2026-02-26
D089,风机089,FX-009,B区,offline,2026-02-27
D090,风机090,FX-001,C区,active,2026-02-28
D091,风机091,FX-002,D区,maintenance,2026-03-01
D092,风机092,FX-003,A区,offline,2026-03-02
D093,风机093,FX-004,B区,active,2026-03-03
D094,风机094,FX-005,C区,maintenance,2026-03-04
D095,风机095,FX-006,D区,offline,2026-03-05
D096,风机096,FX-007,A区,active,2026-03-06
D097,风机097,FX-008,B区,maintenance,2026-03-07
D098,风机098,FX-009,C区,offline,2026-03-08
D099,风机099,FX-001,D区,active,2026-03-09
D100,风机100,FX-002,A区,maintenance,2026-03-10
D101,风机101,FX-003,B区,offline,2026-03-11
D102,风机102,FX-004,C区,active,2026-03-12
D103,风机103,FX-005,D区,maintenance,2026-03-13
D104,风机104,FX-006,A区,offline,2026-03-14
D105,风机105,FX-007,B区,active,2026-03-15
D106,风机106,FX-008,C区,maintenance,2026-03-16
D107,风机107,FX-009,D区,offline,2026-03-17
D108,风机108,FX-001,A区,active,2026-03-18
D109,风机109,FX-002,B区,maintenance,2026-03-19
D110,风机110,FX-003,C区,offline,2026-03-20
D111,风机111,FX-004,D区,active,2026-03-21
D112,风机112,FX-005,A区,maintenance,2026-03-22
D113,风机113,FX-006,B区,offline,2026-03-23
D114,风机114,FX-007,C区,active,2026-03-24
D115,风机115,FX-008,D区,maintenance,2026-03-25
D116,风机116,FX-009,A区,offline,2026-03-26
D117,风机117,FX-001,B区,active,2026-03-27
D118,风机118,FX-002,C区,maintenance,2026-03-28
D119,风机119,FX-003,D区,offline,2026-03-29
D120,风机120,FX-004,A区,active,2026-03-30
D121,风机121,FX-005,B区,maintenance,2026-03-31
D122,风机122,FX-006,C区,offline,2026-04-01
D123,风机123,FX-007,D区,active,2026-04-02
D124,风机124,FX-008,A区,maintenance,2026-04-03
D125,风机125,FX-009,B区,offline,2026-04-04
D126,风机126,FX-001,C区,active,2026-04-05
D127,风机127,FX-002,D区,maintenance,2026-04-06
D128,风机128,FX-003,A区,offline,2026-04-07
D129,风机129,FX-004,B区,active,2026-04-08
