record_id,device_id,collect_time,temperature,pressure,flow,remark
1,D002,2026-02-18 00:00:00,18.05,0.91,0.82,波动
2,D003,2026-02-18 00:01:00,18.1,0.92,0.84,低负载
3,D004,2026-02-18 00:02:00,18.15,0.93,0.86,高负载
4,D005,2026-02-18 00:03:00,18.2,0.94,0.88,检修
5,D006,2026-02-18 00:04:00,18.25,0.95,0.9,正常
6,D007,2026-02-18 00:05:00,18.3,0.96,0.92,波动
7,D008,2026-02-18 00:06:00,18.35,0.97,0.94,低负载
8,D009,2026-02-18 00:07:00,18.4,0.98,0.96,高负载
9,D010,2026-02-18 00:08:00,18.45,0.99,0.98,检修
10,D011,2026-02-18 00:09:00,18.5,1,1,正常
11,D012,2026-02-18 00:10:00,18.55,1.01,1.02,波动
12,D013,2026-02-18 00:11:00,18.6,1.02,1.04,低负载
13,D014,2026-02-18 00:12:00,18.65,1.03,1.06,高负载
14,D015,2026-02-18 00:13:00,18.7,1.04,1.08,检修
15,D016,2026-02-18 00:14:00,18.75,1.05,1.1,正常
16,D017,2026-02-18 00:15:00,18.8,1.06,1.12,波动
17,D018,2026-02-18 00:16:00,18.85,1.07,1.14,低负载
18,D019,2026-02-18 00:17:00,18.9,1.08,1.16,高负载
19,D020,2026-02-18 00:18:00,18.95,1.09,1.18,检修
20,D021,2026-02-18 00:19:00,19,1.1,1.2,正常
21,D022,2026-02-18 00:20:00,19.05,1.11,1.22,波动
22,D023,2026-02-18 00:21:00,19.1,1.12,1.24,低负载
23,D024,2026-02-18 00:22:00,19.15,1.13,1.26,高负载
24,D025,2026-02-18 00:23:00,19.2,1.14,1.28,检修
25,D026,2026-02-18 00:24:00,19.25,1.15,1.3,正常
26,D027,2026-02-18 00:25:00,19.3,1.16,1.32,波动
27,D028,2026-02-18 00:26:00,19.35,1.17,1.34,低负载
28,D029,2026-02-18 00:27:00,19.4,1.18,1.36,高负载
29,D030,2026-02-18 00:28:00,19.45,1.19,1.38,检修
30,D031,2026-02-18 00:29:00,19.5,1.2,1.4,正常
31,D032,2026-02-18 00:30:00,19.55,1.21,1.42,波动
32,D033,2026-02-18 00:31:00,19.6,1.22,1.44,低负载
33,D034,2026-02-18 00:32:00,19.65,1.23,1.46,高负载
34,D035,2026-02-18 00:33:00,19.7,1.24,1.48,检修
