_iginx_key,device_id,device_name,install_date,location,model,status
48839868981878708,D190,风机190,2026-06-08,C区,FX-002,maintenance
59500058310247219,D148,风机148,2026-04-27,A区,FX-005,maintenance
134271002957090372,D183,风机183,2026-06-01,D区,FX-004,active
147048967343281446,D122,风机122,2026-04-01,C区,FX-006,offline
234504804148551520,D087,风机087,2026-02-25,D区,FX-007,active
262690215500741358,D033,风机033,2026-01-02,B区,FX-007,active
302150598256729955,D075,风机075,2026-02-13,D区,FX-004,active
364910661006577381,D037,风机037,2026-01-06,B区,FX-002,maintenance
460659136298867666,D103,风机103,2026-03-13,D区,FX-005,maintenance
467231332487493381,D021,风机021,2025-12-21,B区,FX-004,active
570856255118272971,D096,风机096,2026-03-06,A区,FX-007,active
595539436580771089,D043,风机043,2026-01-12,D区,FX-008,maintenance
687896036142244065,D141,风机141,2026-04-20,B区,FX-007,active
719330875419739848,D102,风机102,2026-03-12,C区,FX-004,active
719882577355647286,D126,风机126,2026-04-05,C区,FX-001,active
831224756940643028,D034,风机034,2026-01-03,C区,FX-008,maintenance
898710424733594348,D101,风机101,2026-03-11,B区,FX-003,offline
958105430434342715,D081,风机081,2026-02-19,B区,FX-001,active
1061232056605063034,D159,风机159,2026-05-08,D区,FX-007,active
1106936604910847134,D099,风机099,2026-03-09,D区,FX-001,active
1117831738450787518,D153,风机153,2026-05-02,B区,FX-001,active
1151527382756263863,D165,风机165,2026-05-14,B区,FX-004,active
1185784277675227389,D005,风机005,2025-12-05,B区,FX-006,offline
1188221333453574281,D173,风机173,2026-05-22,B区,FX-003,offline
1207215021703278433,D044,风机044,2026-01-13,A区,FX-009,offline
1230511205479742723,D123,风机123,2026-04-02,D区,FX-007,active
1272051211452737977,D150,风机150,2026-04-29,C区,FX-007,active
1273866140712858163,D054,风机054,2026-01-23,C区,FX-001,active
1352520818787602999,D181,风机181,2026-05-30,B区,FX-002,maintenance
1373640790449866061,D192,风机192,2026-06-10,A区,FX-004,active
1390879392815303462,D023,风机023,2025-12-23,D区,FX-006,offline
1439729421802678849,D147,风机147,2026-04-26,D区,FX-004,active
1480495481748215801,D084,风机084,2026-02-22,A区,FX-004,active
1505577673676530473,D129,风机129,2026-04-08,B区,FX-004,active
1605604829881945555,D079,风机079,2026-02-17,D区,FX-008,maintenance
1607277117643504028,D175,风机175,2026-05-24,D区,FX-005,maintenance
1741727269791888254,D107,风机107,2026-03-17,D区,FX-009,offline
1875827441341700799,D130,风机130,2026-04-09,C区,FX-005,maintenance
1942490985273266557,D090,风机090,2026-02-28,C区,FX-001,active
2018704885206792993,D186,风机186,2026-06-04,C区,FX-007,active
2055241046730061736,D082,风机082,2026-02-20,C区,FX-002,maintenance
2154647277121623944,D074,风机074,2026-02-12,C区,FX-003,offline
2160631827435066373,D050,风机050,2026-01-19,C区,FX-006,offline
2192142002172160923,D128,风机128,2026-04-07,A区,FX-003,offline
2328567297313091874,D059,风机059,2026-01-28,D区,FX-006,offline
