device_id,device_name,install_date,location,model,status
D190,风机190,2026-06-08,C区,FX-002,maintenance
D148,风机148,2026-04-27,A区,FX-005,maintenance
D183,风机183,2026-06-01,D区,FX-004,active
D122,风机122,2026-04-01,C区,FX-006,offline
D087,风机087,2026-02-25,D区,FX-007,active
D033,风机033,2026-01-02,B区,FX-007,active
D075,风机075,2026-02-13,D区,FX-004,active
D037,风机037,2026-01-06,B区,FX-002,maintenance
D103,风机103,2026-03-13,D区,FX-005,maintenance
D021,风机021,2025-12-21,B区,FX-004,active
D096,风机096,2026-03-06,A区,FX-007,active
D043,风机043,2026-01-12,D区,FX-008,maintenance
D141,风机141,2026-04-20,B区,FX-007,active
D102,风机102,2026-03-12,C区,FX-004,active
D126,风机126,2026-04-05,C区,FX-001,active
D034,风机034,2026-01-03,C区,FX-008,maintenance
D101,风机101,2026-03-11,B区,FX-003,offline
D081,风机081,2026-02-19,B区,FX-001,active
D159,风机159,2026-05-08,D区,FX-007,active
D099,风机099,2026-03-09,D区,FX-001,active
D153,风机153,2026-05-02,B区,FX-001,active
D165,风机165,2026-05-14,B区,FX-004,active
D005,风机005,2025-12-05,B区,FX-006,offline
D173,风机173,2026-05-22,B区,FX-003,offline
D044,风机044,2026-01-13,A区,FX-009,offline
D123,风机123,2026-04-02,D区,FX-007,active
D150,风机150,2026-04-29,C区,FX-007,active
D054,风机054,2026-01-23,C区,FX-001,active
D181,风机181,2026-05-30,B区,FX-002,maintenance
D192,风机192,2026-06-10,A区,FX-004,active
D023,风机023,2025-12-23,D区,FX-006,offline
D147,风机147,2026-04-26,D区,FX-004,active
D084,风机084,2026-02-22,A区,FX-004,active
D129,风机129,2026-04-08,B区,FX-004,active
D079,风机079,2026-02-17,D区,FX-008,maintenance
D175,风机175,2026-05-24,D区,FX-005,maintenance
D107,风机107,2026-03-17,D区,FX-009,offline
D130,风机130,2026-04-09,C区,FX-005,maintenance
D090,风机090,2026-02-28,C区,FX-001,active
D186,风机186,2026-06-04,C区,FX-007,active
D082,风机082,2026-02-20,C区,FX-002,maintenance
D074,风机074,2026-02-12,C区,FX-003,offline
D050,风机050,2026-01-19,C区,FX-006,offline
D128,风机128,2026-04-07,A区,FX-003,offline
D059,风机059,2026-01-28,D区,FX-006,offline
D182,风机182,2026-05-31,C区,FX-003,offline
D167,风机167,2026-05-16,D区,FX-006,offline
D149,风机149,2026-04-28,B区,FX-006,offline
D032,风机032,2026-01-01,A区,FX-006,offline
D095,风机095,2026-03-05,D区,FX-006,offline
D006,风机006,2025-12-06,C区,FX-007,active
D162,风机162,2026-05-11,C区,FX-001,active
D155,风机155,2026-05-04,D区,FX-003,offline
D199,风机199,2026-06-17,D区,FX-002,maintenance
D093,风机093,2026-03-03,B区,FX-004,active
D152,风机152,2026-05-01,A区,FX-009,offline
D039,风机039,2026-01-08,D区,FX-004,active
D073,风机073,2026-02-11,B区,FX-002,maintenance
D041,风机041,2026-01-10,B区,FX-006,offline
D145,风机145,2026-04-24,B区,FX-002,maintenance
D180,风机180,2026-05-29,A区,FX-001,active
D110,风机110,2026-03-20,C区,FX-003,offline
D011,风机011,2025-12-11,D区,FX-003,offline
D030,风机030,2025-12-30,C区,FX-004,active
D119,风机119,2026-03-29,D区,FX-003,offline
D072,风机072,2026-02-10,A区,FX-001,active
D003,风机003,2025-12-03,D区,FX-004,active
D168,风机168,2026-05-17,A区,FX-007,active
D124,风机124,2026-04-03,A区,FX-008,maintenance
D132,风机132,2026-04-11,A区,FX-007,active
D154,风机154,2026-05-03,C区,FX-002,maintenance
D166,风机166,2026-05-15,C区,FX-005,maintenance
D177,风机177,2026-05-26,B区,FX-007,active
D097,风机097,2026-03-07,B区,FX-008,maintenance
D088,风机088,2026-02-26,A区,FX-008,maintenance
D100,风机100,2026-03-10,A区,FX-002,maintenance
D001,风机001,2025-12-01,B区,FX-002,maintenance
D010,风机010,2025-12-10,C区,FX-002,maintenance
D151,风机151,2026-04-30,D区,FX-008,maintenance
D077,风机077,2026-02-15,B区,FX-006,offline
D051,风机051,2026-01-20,D区,FX-007,active
D057,风机057,2026-01-26,B区,FX-004,active
D198,风机198,2026-06-16,C区,FX-001,active
D118,风机118,2026-03-28,C区,FX-002,maintenance
D115,风机115,2026-03-25,D区,FX-008,maintenance
D012,风机012,2025-12-12,A区,FX-004,active
D169,风机169,2026-05-18,B区,FX-008,maintenance
D999,风机123,2025-12-3,D区,FX-003,maintenance
D063,风机063,2026-02-01,D区,FX-001,active
D131,风机131,2026-04-10,D区,FX-006,offline
D042,风机042,2026-01-11,C区,FX-007,active
D112,风机112,2026-03-22,A区,FX-005,maintenance
D002,风机002,2025-12-02,C区,FX-003,offline
D104,风机104,2026-03-14,A区,FX-006,offline
D189,风机189,2026-06-07,B区,FX-001,active
D143,风机143,2026-04-22,D区,FX-009,offline
D029,风机029,2025-12-29,B区,FX-003,offline
D185,风机185,2026-06-03,B区,FX-006,offline
D009,风机009,2025-12-09,B区,FX-001,active
D008,风机008,2025-12-08,A区,FX-009,offline
